year,tier2,mean_minutes_per_day
2014,1818,0.017390
2014,1899,1.542793
2014,5001,12.179981
2015,0101,530.047182
2015,0102,41.263995
2015,0103,5.866725
2015,0104,0.435315
2015,0201,34.302642
2015,0202,35.943592
2015,0203,3.811033
2015,0204,3.722561
2015,0205,11.818127
2015,0206,6.624430
2015,0207,2.240423
2015,0208,1.088157
2015,0209,11.265661
2015,0299,0.120939
2015,0301,20.970068
2015,0302,2.199933
2015,0303,0.583266
2015,0304,1.418063
2015,0305,0.687041
2015,0401,3.654966
2015,0402,0.075802
2015,0403,0.036660
2015,0404,0.799935
2015,0405,3.276076
2015,0499,0.001869
2015,0501,191.325852
2015,0502,0.354374
2015,0503,1.660202
2015,0504,1.861150
2015,0599,0.026710
2015,0601,14.716758
2015,0602,0.379009
2015,0603,10.248679
2015,0604,0.284289
2015,0699,0.194883
2015,0701,21.676223
2015,0702,0.048929
2015,0801,0.048625
2015,0802,0.404605
2015,0803,0.053396
2015,0804,3.035018
2015,0805,1.127425
2015,0806,0.177549
2015,0807,0.083571
2015,0899,0.027345
2015,0901,0.072762
2015,0902,0.331019
2015,0903,0.054802
2015,0904,0.012843
2015,0905,0.479978
2015,0999,0.006446
2015,1001,0.127057
2015,1002,0.105470
2015,1003,0.098194
2015,1004,0.001657
2015,1101,64.033423
2015,1102,0.187369
2015,1201,36.713359
2015,1202,3.993008
2015,1203,234.791134
2015,1204,4.934874
2015,1205,0.037129
2015,1301,18.290316
2015,1302,1.075985
2015,1303,0.040581
2015,1399,0.013627
2015,1401,8.962052
