year,tier3,mean_minutes_per_day,label
2004,040503,0.051696,Animal & pet care assistance for nonhh adults
2004,040504,0.465624,Vehicle & appliance maintenance/repair assistance for nonhh adults
2004,040505,0.067952,Financial management assistance for nonhh adults
2004,040506,0.856542,Household management & paperwork assistance for nonhh adults
2004,040507,0.580757,Picking up/dropping off nonhh adult
2004,040508,0.181512,Waiting associated with helping nonhh adults
2004,040599,0.426030,"Helping nonhh adults, n.e.c."
2004,049999,0.106620,"Caring for & helping nonhh members, n.e.c."
2004,050101,194.707753,"Work, main job"
2004,050102,4.878935,"Work, other job(s)"
2004,050103,0.012229,Security procedures related to work
2004,050189,0.182487,"Working, n.e.c."
2004,050201,0.069751,"Socializing, relaxing, and leisure as part of job"
2004,050202,0.204666,Eating and drinking as part of job
2004,050289,0.043016,"Work-related activities, n.e.c."
2004,050301,0.233765,"Income-generating hobbies, crafts, and food"
2004,050302,0.033442,Income-generating performances
2004,050303,0.723194,Income-generating services
2004,050304,0.061086,Income-generating rental property activities
2004,050389,0.414765,"Other income-generating activities, n.e.c."
2004,050403,0.125928,Job interviewing
2004,050404,0.025073,Waiting associated with job search or interview
2004,050481,0.856265,Job search activities
2004,050499,0.169328,"Job search and Interviewing, n.e.c."
2004,059999,0.014136,"Work and work-related activities, n.e.c."
2004,060101,15.618978,"Taking class for degree, certification, or licensure"
2004,060102,1.550431,Taking class for personal interest
2004,060103,0.074301,Waiting associated with taking classes
2004,060199,0.378101,"Taking class, n.e.c."
2004,060201,0.041242,Extracurricular club activities
2004,060202,0.126098,Extracurricular music & performance activities
2004,060203,0.003849,Extracurricular student government activities
2004,060289,0.021591,"Education-related extracurricular activities, n.e.c."
2004,060301,7.839299,"Research/homework for class for degree, certification, or licensure"
2004,060302,0.420533,Research/homework for class for pers. interest
2004,060399,0.202122,Research/homework n.e.c.
2004,060401,0.058377,"Administrative activities: class for degree, certification, or licensure"
2004,060402,0.002098,Administrative activities: class for personal interest
2004,060403,0.003556,Waiting associated w/admin. activities (education)
2004,060499,0.007993,"Administrative for education, n.e.c."
2004,069999,0.195526,"Education, n.e.c."
2004,070101,6.214678,Grocery shopping
2004,070102,0.376221,Purchasing gas
2004,070103,1.103545,Purchasing food (not groceries)
2004,070104,16.549487,"Shopping, except groceries, food and gas"
2004,070105,0.122295,Waiting associated with shopping
2004,070199,0.001198,"Shopping, n.e.c."
2004,070201,0.019134,Comparison shopping
2004,070301,0.002980,Security procedures rel. to consumer purchases
2004,080101,0.040298,Using paid childcare services
2004,080102,0.000333,Waiting associated w/purchasing childcare svcs
2004,080199,0.000429,"Using paid childcare services, n.e.c."
2004,080201,0.418744,Banking
2004,080202,0.156848,Using other financial services
2004,080203,0.003124,Waiting associated w/banking/financial services
2004,080301,0.050706,Using legal services
2004,080401,2.413168,Using health and care services outside the home
2004,080402,0.091652,Using in-home health and care services
2004,080403,0.385199,Waiting associated with medical services
2004,080499,0.041928,"Using medical services, n.e.c."
2004,080501,1.293738,Using personal care services
2004,080502,0.083073,Waiting associated w/personal care services
2004,080601,0.241158,Activities rel. to purchasing/selling real estate
2004,080602,0.005716,Waiting associated w/purchasing/selling real estate
2004,080701,0.103090,Using veterinary services
2004,080702,0.022710,Waiting associated with veterinary services
2004,089999,0.050739,"Professional and personal services, n.e.c."
2004,090101,0.048660,Using interior cleaning services
2004,090102,0.005283,Using meal preparation services
2004,090103,0.045110,Using clothing repair and cleaning services
2004,090199,0.002678,"Using household services, n.e.c."
2004,090201,0.276541,Using home maint/repair/decor/construction svcs
2004,090202,0.148511,Waiting associated w/ home main/repair/decor/constr
2004,090299,0.002327,"Using home maint/repair/decor/constr services, n.e.c."
2004,090301,0.006693,Using pet services
